dept,position
策划部,主策划
策划部,系统策划
策划部,剧情策划
策划部,文案策划
策划部,玩法策划
策划部,运营策划
研发部,客户端工程师
研发部,服务器工程师
研发部,引擎工程师
研发部,渲染工程师
研发部,物理引擎工程师
研发部,AI工程师
研发部,工具链工程师
研发部,网络工程师
研发部,移动端工程师
美术部,原画师
美术部,角色原画
美术部,场景原画
美术部,UI设计师
美术部,UX设计师
美术部,角色建模师
美术部,场景建模师
美术部,动画师
美术部,特效师
美术部,技术美术
音频部,音效设计师
音频部,作曲
音频部,音频技术
音频部,配音导演
QA部,测试工程师
QA部,功能测试
QA部,性能测试
QA部,自动化测试
QA部,体验测试
项目管理部,制作人
项目管理部,执行制作
项目管理部,项目经理
项目管理部,版本管理
运营部,市场专员
运营部,商业化策划
运营部,社区运营
运营部,活动运营
运营部,渠道发行
运营部,本地化
运营部,玩家支持
数据部,数据分析师
数据部,数据工程师
数据部,数据科学家
行政支持部,人力专员
行政支持部,财务专员
行政支持部,法务专员
行政支持部,行政助理
行政支持部,IT技术支持
